date,city,weather,t_max,t_min,t_avg,rain_mm,windSpeed,windDirection,humidity,pressure
2022-01-26,Hyderabad,cloudy,23,11,20,0,13.8,no,64,1012
2022-01-25,Hyderabad,rainy,28,0,17,17,10.2,o,20,1135
2022-01-24,Hyderabad,cloudy,27,14,18,0,8.6,n,11,1028
2022-01-23,Hyderabad,sunny,14,0,7,0,12.1,s,41,968
2022-01-22,Hyderabad,partially cloudy,18,10,15,0,1.7,s,15,1117
2022-01-21,Hyderabad,rainy,30,3,7,150,14.9,o,38,955
2022-01-20,Hyderabad,partially cloudy,11,0,4,0,3.1,e,56,1166
2022-01-19,Hyderabad,sunny,18,10,14,0,2.6,ne,35,1153
2022-01-18,Hyderabad,partially cloudy,14,4,7,0,11.2,e,56,1151
2022-01-17,Hyderabad,stormy,26,8,13,187,12.0,s,49,1155
2022-01-16,Hyderabad,foggy,13,5,10,0,1.5,no,67,951
2022-01-15,Hyderabad,foggy,22,4,10,0,11.0,ne,21,1049
2022-01-14,Hyderabad,rainy,27,3,6,104,0.9,se,24,1097
2022-01-13,Hyderabad,tornado,22,3,16,0,10.5,s,19,1024
2022-01-12,Hyderabad,tornado,19,7,14,0,6.5,e,39,1056
2022-01-11,Hyderabad,rainy,14,2,10,22,11.9,n,25,970
2022-01-10,Hyderabad,partially cloudy,29,9,19,0,6.7,e,11,1176
2022-01-09,Hyderabad,rainy,13,1,8,90,14.5,so,48,1049
2022-01-08,Hyderabad,hurricane,22,8,15,172,4.7,so,13,1002
2022-01-07,Hyderabad,partially cloudy,23,2,10,0,10.2,ne,63,1102
2022-01-06,Hyderabad,rainy,23,12,15,11,11.1,n,30,1006
2022-01-05,Hyderabad,sunny,11,2,5,0,4.3,o,29,1052
2022-01-04,Hyderabad,hurricane,26,9,15,47,3.1,no,32,1021
2022-01-03,Hyderabad,sunny,26,9,13,0,3.5,ne,28,1173
2022-01-02,Hyderabad,rainy,10,0,5,151,11.2,ne,10,1107
2022-01-01,Hyderabad,tornado,17,0,6,0,3.0,so,33,1093
2021-12-31,Hyderabad,rainy,18,10,15,194,14.6,o,44,976
2021-12-30,Hyderabad,rainy,12,4,7,183,8.3,so,53,1035
2021-12-29,Hyderabad,rainy,13,0,9,95,7.2,no,13,1064
2021-12-28,Hyderabad,sunny,22,8,19,0,14.9,s,16,1104
2021-12-27,Hyderabad,sunny,18,4,13,0,6.7,o,64,1144
2021-12-26,Hyderabad,partially cloudy,17,2,8,0,9.7,o,63,1112
2021-12-25,Hyderabad,partially cloudy,17,6,11,0,6.1,no,11,1182
2021-12-24,Hyderabad,partially cloudy,15,4,11,0,6.7,n,64,954
2021-12-23,Hyderabad,partially cloudy,16,8,12,0,14.5,se,46,1035
2021-12-22,Hyderabad,partially cloudy,20,12,17,0,8.4,s,54,1151
2021-12-21,Hyderabad,rainy,11,2,6,140,6.9,e,52,1184
2021-12-20,Hyderabad,rainy,18,7,11,20,5.4,ne,25,1094
2021-12-19,Hyderabad,sunny,14,0,11,0,13.7,n,25,1121
2021-12-18,Hyderabad,sunny,12,3,9,0,14.7,s,41,1195
2021-12-17,Hyderabad,rainy,12,1,9,150,4.2,o,15,1191
2021-12-16,Hyderabad,sunny,11,0,3,0,14.7,e,39,1120
2021-12-15,Hyderabad,rainy,27,0,23,177,11.8,no,53,1003
2021-12-14,Hyderabad,partially cloudy,14,4,11,0,14.6,no,38,1008
2021-12-13,Hyderabad,cloudy,12,4,7,0,13.3,e,70,1157
2021-12-12,Hyderabad,sunny,12,0,5,0,5.1,o,33,1120
2021-12-11,Hyderabad,sunny,14,6,10,0,2.7,se,39,1063
2021-12-10,Hyderabad,rainy,23,9,18,127,6.9,s,58,1002
2021-12-09,Hyderabad,sunny,13,5,8,0,1.1,so,14,1048
2021-12-08,Hyderabad,partially cloudy,10,0,6,0,2.4,s,37,1133
2021-12-07,Hyderabad,rainy,13,0,3,73,13.6,s,42,1093
2021-12-06,Hyderabad,sunny,17,2,9,0,7.7,e,57,981
2021-12-05,Hyderabad,hurricane,28,13,24,121,14.1,o,66,981
2021-12-04,Hyderabad,sunny,22,0,18,0,4.5,s,68,1023
2021-12-03,Hyderabad,partially cloudy,15,3,6,0,2.6,se,10,1169
2021-12-02,Hyderabad,rainy,11,2,5,17,0.7,e,65,1051
2021-12-01,Hyderabad,hurricane,18,2,5,188,14.9,s,27,1121
2021-11-30,Hyderabad,rainy,14,6,10,128,11.0,o,69,1013
2021-11-29,Hyderabad,rainy,25,8,12,16,7.4,n,55,1054
2021-11-28,Hyderabad,rainy,25,0,22,109,9.4,s,62,967
2021-11-27,Hyderabad,partially cloudy,29,17,26,0,1.1,n,57,1033
2021-11-26,Hyderabad,sunny,16,2,13,0,4.1,ne,26,954
2021-11-25,Hyderabad,cloudy,29,7,12,0,11.6,ne,16,964
2021-11-24,Hyderabad,hurricane,20,8,13,94,2.1,e,30,1008
2021-11-23,Hyderabad,partially cloudy,11,3,6,0,9.6,n,41,1111
2021-11-22,Hyderabad,partially cloudy,26,15,23,0,8.5,se,14,1163
2021-11-21,Hyderabad,partially cloudy,27,18,22,0,8.4,so,52,1010
2021-11-20,Hyderabad,sunny,12,3,9,0,13.6,n,34,976
2021-11-19,Hyderabad,rainy,26,16,20,100,10.1,n,50,1173
2021-11-18,Hyderabad,sunny,21,7,18,0,11.4,n,70,1131
2021-11-17,Hyderabad,sunny,13,5,10,0,5.5,no,11,1049
2021-11-16,Hyderabad,sunny,10,1,5,0,9.2,ne,14,1132
2021-11-15,Hyderabad,partially cloudy,26,5,17,0,7.5,e,28,1186
2021-11-14,Hyderabad,sunny,21,3,11,0,2.0,no,32,1168
2021-11-13,Hyderabad,sunny,23,14,17,0,13.9,se,55,1186
2021-11-12,Hyderabad,foggy,10,0,6,0,2.0,e,54,1055
