date,city,weather,t_max,t_min,t_avg,rain_mm,windSpeed,windDirection,humidity,pressure

2022-01-30,Hyderabad,stormy,28,11,22,175,2.7,s,52,1064

2022-01-31,Hyderabad,partially cloudy,19,0,3,0,11.5,o,15,1173

2022-02-01,Hyderabad,rainy,15,1,6,38,5.8,e,50,1047

2022-02-02,Hyderabad,cloudy,11,0,7,0,2.9,o,29,952

2022-02-03,Hyderabad,cloudy,15,6,12,0,9.4,no,16,1016

2022-02-04,Hyderabad,foggy,29,1,17,0,7.0,s,58,1182

2022-01-30,Warangal,tornado,28,3,16,0,7.8,o,62,967

2022-01-31,Warangal,cloudy,10,2,7,0,3.4,no,52,1033

2022-02-01,Warangal,sunny,22,3,6,0,11.8,se,13,1168

2022-02-02,Warangal,partially cloudy,14,0,4,0,10.6,s,26,1083

2022-02-03,Warangal,rainy,14,0,11,138,9.1,se,31,994

2022-02-04,Warangal,partially cloudy,11,1,7,0,9.5,n,43,1131

2022-01-30,Nizamabad,rainy,15,7,10,97,10.1,ne,70,1086

2022-01-31,Nizamabad,partially cloudy,26,16,21,0,5.5,so,29,1179

2022-02-01,Nizamabad,rainy,27,13,22,78,10.2,n,30,1036

2022-02-02,Nizamabad,sunny,18,4,8,0,14.2,se,48,992

2022-02-03,Nizamabad,partially cloudy,16,4,7,0,7.6,e,48,1126

2022-02-04,Nizamabad,foggy,19,0,11,0,11.4,no,29,968

2022-01-30,Khammam,stormy,13,0,5,35,11.7,e,17,1080

2022-01-31,Khammam,stormy,29,1,13,27,10.2,se,60,1153

2022-02-01,Khammam,rainy,29,14,23,109,10.8,no,41,1038

2022-02-02,Khammam,rainy,26,2,7,34,10.6,o,23,1026

2022-02-03,Khammam,rainy,14,3,7,142,12.6,s,20,1047

2022-02-04,Khammam,partially cloudy,24,11,20,0,5.6,o,21,1139

2022-01-30,Karimnagar,rainy,12,4,8,15,9.1,o,17,1191

2022-01-31,Karimnagar,partially cloudy,22,10,17,0,13.7,n,67,1104

2022-02-01,Karimnagar,sunny,11,2,7,0,13.2,se,37,1043

2022-02-02,Karimnagar,partially cloudy,13,4,10,0,1.5,ne,43,1094

2022-02-03,Karimnagar,cloudy,21,5,18,0,11.2,so,68,1197

2022-02-04,Karimnagar,sunny,20,7,15,0,6.5,n,44,1169

2022-01-30,Ramagundam,rainy,24,2,12,153,14.8,no,14,1160

2022-01-31,Ramagundam,sunny,16,8,11,0,3.9,e,13,1017

2022-02-01,Ramagundam,stormy,12,1,8,195,14.7,ne,26,1106

2022-02-02,Ramagundam,rainy,29,6,23,104,10.3,e,30,1138

2022-02-03,Ramagundam,rainy,24,13,21,152,8.1,ne,46,1012

2022-02-04,Ramagundam,tornado,10,2,5,0,14.9,no,20,1187

2022-01-30,Mahabubnagar,partially cloudy,15,5,9,0,10.8,n,15,1114

2022-01-31,Mahabubnagar,stormy,27,16,21,149,1.9,s,55,1160

2022-02-01,Mahabubnagar,partially cloudy,22,9,12,0,13.6,s,27,1127

2022-02-02,Mahabubnagar,rainy,10,0,6,96,9.6,no,56,975

2022-02-03,Mahabubnagar,sunny,18,5,9,0,9.3,so,44,969

2022-02-04,Mahabubnagar,sunny,10,1,4,0,7.1,o,18,969

2022-01-30,Adilabad,cloudy,14,6,10,0,2.6,se,15,1084

2022-01-31,Adilabad,hurricane,30,18,26,38,11.7,ne,54,1035

2022-02-01,Adilabad,partially cloudy,16,3,13,0,8.6,no,40,1022

2022-02-02,Adilabad,partially cloudy,16,1,5,0,13.7,se,58,959

2022-02-03,Adilabad,foggy,13,3,6,0,12.0,so,34,1117

2022-02-04,Adilabad,partially cloudy,22,14,19,0,7.7,ne,28,1103

2022-01-30,Suryapet,sunny,18,2,7,0,4.8,n,49,987

2022-01-31,Suryapet,rainy,16,0,3,89,4.3,se,45,1079

2022-02-01,Suryapet,sunny,16,3,6,0,11.7,n,49,1183

2022-02-02,Suryapet,sunny,28,3,22,0,5.8,n,59,955

2022-02-03,Suryapet,stormy,17,1,10,119,1.9,s,64,1028

2022-02-04,Suryapet,partially cloudy,13,2,5,0,7.7,ne,30,972

2022-01-30,Siddipet,sunny,28,20,24,0,0.6,n,63,1192

2022-01-31,Siddipet,partially cloudy,13,3,7,0,5.9,s,27,1132

2022-02-01,Siddipet,stormy,19,0,13,83,8.4,s,41,1056

2022-02-02,Siddipet,partially cloudy,20,10,14,0,4.7,s,50,1179

2022-02-03,Siddipet,rainy,13,2,8,52,14.5,e,28,1135

2022-02-04,Siddipet,partially cloudy,12,2,9,0,3.7,so,47,1165

2022-01-30,Nalgonda,sunny,18,0,5,0,9.4,so,10,1150

2022-01-31,Nalgonda,partially cloudy,16,0,12,0,10.1,ne,41,1088

2022-02-01,Nalgonda,sunny,19,6,15,0,5.7,n,69,1028

2022-02-02,Nalgonda,foggy,11,2,8,0,8.1,n,47,1087

2022-02-03,Nalgonda,partially cloudy,10,1,5,0,10.8,se,22,1130

2022-02-04,Nalgonda,sunny,25,16,20,0,1.2,o,58,1183

2022-01-30,Jagtial,rainy,28,18,23,35,9.8,no,30,967

2022-01-31,Jagtial,rainy,10,0,5,157,3.9,e,54,952

2022-02-01,Jagtial,sunny,14,1,7,0,3.5,o,49,1130

2022-02-02,Jagtial,sunny,29,5,22,0,0.6,ne,39,1028

2022-02-03,Jagtial,rainy,21,2,7,98,5.3,se,63,971

2022-02-04,Jagtial,sunny,29,17,24,0,7.2,so,66,1086

