date,city,weather,t_max,t_min,t_avg,rain_mm,windSpeed,windDirection,humidity,pressure

2022-01-28,Hyderabad,cloudy,26,15,23,0,5.0,n,29,984

2022-01-27,Hyderabad,sunny,27,5,10,0,7.7,n,16,1009

2022-01-26,Hyderabad,sunny,18,8,13,0,9.0,ne,70,1080

2022-01-25,Hyderabad,partially cloudy,16,3,8,0,4.4,s,40,967

2022-01-24,Hyderabad,partially cloudy,25,10,20,0,14.2,e,22,1096

2022-01-23,Hyderabad,sunny,25,13,16,0,3.5,so,58,1113

2022-01-22,Hyderabad,sunny,21,2,15,0,5.6,e,45,1076

2022-01-21,Hyderabad,stormy,20,1,4,108,1.5,so,41,1162

2022-01-20,Hyderabad,partially cloudy,25,2,15,0,14.9,so,56,997

2022-01-19,Hyderabad,sunny,24,12,20,0,1.5,so,31,1101

2022-01-18,Hyderabad,rainy,14,2,9,87,6.0,n,68,1025

2022-01-17,Hyderabad,rainy,15,2,9,106,12.6,no,49,1080

2022-01-16,Hyderabad,cloudy,13,2,6,0,9.4,se,61,1158

2022-01-15,Hyderabad,rainy,28,17,23,91,5.2,s,27,970

2022-01-14,Hyderabad,sunny,26,1,7,0,7.3,s,61,1005

2022-01-13,Hyderabad,rainy,15,7,12,43,11.8,ne,33,987

2022-01-12,Hyderabad,sunny,28,19,24,0,11.5,se,54,1051

2022-01-11,Hyderabad,sunny,29,0,5,0,13.5,s,19,1017

2022-01-10,Hyderabad,rainy,17,4,9,185,12.0,e,39,1004

2022-01-09,Hyderabad,cloudy,28,14,21,0,11.8,so,45,1012

2022-01-08,Hyderabad,sunny,22,6,12,0,0.5,se,19,1161

2022-01-07,Hyderabad,rainy,11,1,4,103,12.5,o,27,1083

2022-01-06,Hyderabad,sunny,27,18,21,0,3.4,ne,23,1164

2022-01-05,Hyderabad,sunny,25,13,22,0,1.3,so,19,1047

2022-01-04,Hyderabad,tornado,27,11,17,0,13.3,se,21,1030

2022-01-03,Hyderabad,sunny,23,0,6,0,11.9,s,32,1088

2022-01-02,Hyderabad,partially cloudy,30,4,8,0,1.3,ne,59,977

2022-01-01,Hyderabad,rainy,27,3,23,192,12.2,s,27,1076

2021-12-31,Hyderabad,partially cloudy,20,4,12,0,12.2,ne,16,1065

2021-12-30,Hyderabad,cloudy,20,4,14,0,3.8,n,69,1066

2021-12-29,Hyderabad,rainy,12,1,5,88,5.7,se,59,1162

2021-12-28,Hyderabad,partially cloudy,11,2,6,0,12.7,se,12,1066

2021-12-27,Hyderabad,stormy,15,5,10,66,8.7,ne,18,1025

2021-12-26,Hyderabad,sunny,16,3,12,0,5.4,n,16,1191

2021-12-25,Hyderabad,partially cloudy,15,6,12,0,12.8,s,27,958

2021-12-24,Hyderabad,tornado,14,3,7,0,13.9,no,64,1108

2021-12-23,Hyderabad,foggy,15,7,12,0,13.8,se,34,1030

2021-12-22,Hyderabad,cloudy,30,0,9,0,6.0,se,58,1047

2021-12-21,Hyderabad,rainy,22,2,18,133,12.5,o,15,1050

2021-12-20,Hyderabad,stormy,26,0,22,100,14.0,s,29,1087

2021-12-19,Hyderabad,partially cloudy,26,9,15,0,9.2,so,63,1013

2021-12-18,Hyderabad,partially cloudy,17,9,12,0,1.8,n,22,978

2021-12-17,Hyderabad,hurricane,20,9,13,68,2.1,se,13,1200

2021-12-16,Hyderabad,sunny,27,13,16,0,4.4,o,33,950

2021-12-15,Hyderabad,rainy,10,2,5,87,6.5,s,31,1196

2021-12-14,Hyderabad,cloudy,28,10,17,0,8.2,se,69,971

2021-12-13,Hyderabad,partially cloudy,29,14,24,0,10.1,ne,44,1084

2021-12-12,Hyderabad,sunny,25,11,22,0,7.1,se,67,1023

2021-12-11,Hyderabad,rainy,30,18,26,70,4.2,o,15,1074

2021-12-10,Hyderabad,partially cloudy,27,16,23,0,0.6,e,53,1087

2021-12-09,Hyderabad,sunny,22,14,19,0,14.9,no,36,1139

2021-12-08,Hyderabad,rainy,28,11,16,80,8.0,no,16,1028

2021-12-07,Hyderabad,sunny,23,15,18,0,10.5,no,47,1029

2021-12-06,Hyderabad,sunny,13,5,8,0,1.9,ne,46,1148

2021-12-05,Hyderabad,sunny,20,1,17,0,3.7,no,14,966

2021-12-04,Hyderabad,stormy,13,3,10,70,1.9,no,52,1119

2021-12-03,Hyderabad,partially cloudy,10,0,5,0,10.2,no,65,1105

2021-12-02,Hyderabad,sunny,15,7,10,0,5.7,se,49,1181

2021-12-01,Hyderabad,cloudy,10,1,4,0,12.4,ne,54,1177

2021-11-30,Hyderabad,sunny,20,4,10,0,7.0,o,21,1065

2021-11-29,Hyderabad,sunny,18,5,10,0,8.2,no,54,1094

2021-11-28,Hyderabad,sunny,26,7,22,0,14.3,s,67,1161

2021-11-27,Hyderabad,partially cloudy,23,4,19,0,8.2,so,69,1086

2021-11-26,Hyderabad,cloudy,15,7,12,0,7.1,e,10,985

2021-11-25,Hyderabad,tornado,17,2,12,0,11.3,ne,49,984

2021-11-24,Hyderabad,hurricane,17,0,6,62,9.5,e,50,1167

2021-11-23,Hyderabad,sunny,25,16,22,0,7.0,o,68,1029

2021-11-22,Hyderabad,sunny,17,4,12,0,8.8,no,65,1157

2021-11-21,Hyderabad,rainy,23,1,4,59,9.2,se,55,1006

2021-11-20,Hyderabad,cloudy,14,0,11,0,12.9,n,23,1013

2021-11-19,Hyderabad,cloudy,15,0,12,0,1.1,ne,12,1108

2021-11-18,Hyderabad,sunny,21,2,11,0,9.4,no,25,1006

2021-11-17,Hyderabad,rainy,16,8,12,198,7.7,se,36,1032

2021-11-16,Hyderabad,sunny,28,2,6,0,13.9,no,43,1020

2021-11-15,Hyderabad,partially cloudy,13,5,10,0,12.7,so,35,1165

2021-11-14,Hyderabad,sunny,26,9,16,0,2.0,n,35,1121

2021-11-13,Hyderabad,sunny,14,0,11,0,8.9,e,23,1024

2021-11-12,Hyderabad,rainy,23,11,19,162,5.1,n,33,1150

2021-11-11,Hyderabad,rainy,19,1,11,199,2.4,so,37,1090

2021-11-10,Hyderabad,rainy,16,3,7,153,14.7,o,51,983

2021-11-09,Hyderabad,sunny,18,3,8,0,12.3,ne,51,1182

2021-11-08,Hyderabad,foggy,19,1,4,0,8.8,se,39,1172

2021-11-07,Hyderabad,sunny,19,9,13,0,7.8,e,59,1124

2021-11-06,Hyderabad,sunny,12,2,9,0,6.0,ne,13,1068

2021-11-05,Hyderabad,rainy,20,3,9,122,10.5,n,56,1108

2021-11-04,Hyderabad,sunny,16,3,12,0,3.2,so,69,1156

2021-11-03,Hyderabad,rainy,15,2,12,145,4.2,so,46,1171

2021-11-02,Hyderabad,rainy,30,1,13,189,9.7,s,36,1148

2021-11-01,Hyderabad,rainy,27,14,22,180,10.5,so,28,999

2021-10-31,Hyderabad,sunny,15,1,4,0,5.4,ne,40,1128

2021-10-30,Hyderabad,rainy,11,3,7,69,5.5,o,65,1102

2021-10-29,Hyderabad,rainy,17,8,14,75,3.3,n,13,1037

2021-10-28,Hyderabad,rainy,27,9,22,196,11.4,s,34,971

2021-10-27,Hyderabad,sunny,20,8,12,0,14.3,ne,62,981

2021-10-26,Hyderabad,rainy,20,10,17,21,13.8,s,39,1023

2021-10-25,Hyderabad,partially cloudy,19,7,13,0,6.7,so,44,1053

